keyword,timestamp,pos_hype,neg_hype
$TSLA,2020-03-23 20:21:17,3,4
$TSLA,2020-03-23 20:23:03,0,3
$TSLA,2020-03-23 20:24:14,1,0
$TSLA,2020-03-23 20:27:44,3,4
$TSLA,2020-03-23 20:29:16,6,1
$TSLA,2020-03-23 20:37:04,7,1
$TSLA,2020-03-23 20:40:25,5,2
$TSLA,2020-03-23 20:42:31,0,3
$TSLA,2020-03-23 20:44:39,9,0
$TSLA,2020-03-23 20:46:17,1,0
$TSLA,2020-03-23 20:47:31,3,0
$TSLA,2020-03-23 20:49:51,3,7
$TSLA,2020-03-23 20:51:56,0,1
$TSLA,2020-03-23 20:53:29,0,8
$TSLA,2020-03-23 20:57:52,0,2
$TSLA,2020-03-23 20:59:13,10,1
$TSLA,2020-03-23 21:01:31,0,1
$TSLA,2020-03-23 21:05:33,1,0
$TSLA,2020-03-23 21:09:53,3,0
$TSLA,2020-03-23 21:12:38,13,0
$TSLA,2020-03-23 21:15:00,0,6
$TSLA,2020-03-23 21:16:03,0,1
$TSLA,2020-03-23 21:17:19,2,12
$TSLA,2020-03-23 21:19:45,7,0
$TSLA,2020-03-23 21:20:55,2,0
$TSLA,2020-03-23 21:23:41,7,2
$TSLA,2020-03-23 21:25:43,5,6
$TSLA,2020-03-23 21:27:15,14,0
$TSLA,2020-03-23 21:28:43,3,11
$TSLA,2020-03-23 21:30:10,0,61
$TSLA,2020-03-23 21:32:07,2,1
$TSLA,2020-03-23 21:33:17,6,0
$TSLA,2020-03-23 21:34:36,24,1
$TSLA,2020-03-23 21:36:05,1,3
$TSLA,2020-03-23 21:37:44,105,2
$TSLA,2020-03-23 21:40:47,2,1
$TSLA,2020-03-23 21:45:36,12,1
$TSLA,2020-03-23 21:47:59,3,0
$TSLA,2020-03-23 21:49:30,0,3
$TSLA,2020-03-23 21:51:33,1,1
$TSLA,2020-03-23 21:55:58,2,1
$TSLA,2020-03-23 21:56:59,0,20
$TSLA,2020-03-23 21:59:25,2,72
$TSLA,2020-03-23 22:03:25,0,4
$TSLA,2020-03-23 22:04:42,1,3
$TSLA,2020-03-23 22:06:03,3,0
$TSLA,2020-03-23 22:07:22,14,0
$TSLA,2020-03-23 22:10:43,1,1
$TSLA,2020-03-23 22:11:58,2,0
$TSLA,2020-03-23 22:16:25,7,0
$TSLA,2020-03-23 22:20:06,0,6
$TSLA,2020-03-23 22:21:11,6,0
$TSLA,2020-03-23 22:22:39,24,0
$TSLA,2020-03-23 22:23:53,0,2
$TSLA,2020-03-23 22:25:36,1,0
$TSLA,2020-03-23 22:27:25,0,58
$TSLA,2020-03-23 22:29:55,1,0
$TSLA,2020-03-23 22:32:00,0,13
$TSLA,2020-03-23 22:37:18,1,12
$TSLA,2020-03-23 22:39:43,0,3
$TSLA,2020-03-23 22:41:24,1,0
$TSLA,2020-03-23 22:43:50,13,0
$TSLA,2020-03-23 22:46:22,1,3
$TSLA,2020-03-23 22:47:41,0,3
$TSLA,2020-03-23 22:52:12,172,6
$TSLA,2020-03-23 22:53:27,4,267
$TSLA,2020-03-23 22:55:39,1,0
$TSLA,2020-03-23 22:57:49,4,12
$TSLA,2020-03-23 22:59:03,4,0
$TSLA,2020-03-23 23:01:06,0,1
$TSLA,2020-03-23 23:03:54,1,0
$TSLA,2020-03-23 23:07:55,0,1
$TSLA,2020-03-23 23:10:07,0,16
$TSLA,2020-03-23 23:11:42,0,9
$TSLA,2020-03-23 23:13:53,10,3
$TSLA,2020-03-23 23:16:15,6,1
$TSLA,2020-03-23 23:18:03,12,0
$TSLA,2020-03-23 23:19:10,10,3
$TSLA,2020-03-23 23:20:29,1,0
$TSLA,2020-03-23 23:21:43,3,1
$TSLA,2020-03-23 23:22:59,0,1
$TSLA,2020-03-23 23:24:03,299,174
$TSLA,2020-03-23 23:26:39,19,0
$TSLA,2020-03-23 23:28:38,3,0
$TSLA,2020-03-23 23:30:57,2,0
$TSLA,2020-03-23 23:31:58,10,4
$TSLA,2020-03-23 23:33:33,5,5
$TSLA,2020-03-23 23:36:28,0,27
$TSLA,2020-03-23 23:38:36,117,0
$TSLA,2020-03-23 23:40:58,11,0
$TSLA,2020-03-23 23:45:40,0,5
$TSLA,2020-03-23 23:49:51,53,0
$TSLA,2020-03-23 23:52:21,1,2
$TSLA,2020-03-23 23:53:24,8,0
$TSLA,2020-03-23 23:54:29,17,0
$TSLA,2020-03-23 23:55:30,3,33
$TSLA,2020-03-23 23:56:49,4,0
$TSLA,2020-03-23 23:58:37,2,0
$TSLA,2020-03-24 14:23:06,204,6
$TSLA,2020-03-24 14:24:24,15,1
$TSLA,2020-03-24 14:25:25,10,6
$TSLA,2020-03-24 14:26:37,5,6
$TSLA,2020-03-24 14:27:47,4,48
$TSLA,2020-03-24 14:28:54,11,1
$TSLA,2020-03-24 14:29:59,17,6
$TSLA,2020-03-24 14:31:06,41,0
$TSLA,2020-03-24 14:32:19,93,2
$TSLA,2020-03-24 14:33:20,2,130
$TSLA,2020-03-24 14:34:33,3,5
$TSLA,2020-03-24 14:36:01,12,17
$TSLA,2020-03-24 14:37:03,2,2
$TSLA,2020-03-24 14:38:30,20,3
$TSLA,2020-03-24 14:39:38,6,0
$TSLA,2020-03-24 14:40:42,17,3
$TSLA,2020-03-24 14:41:51,23,11
$TSLA,2020-03-24 14:43:27,1,0
$TSLA,2020-03-24 14:44:34,10,0
$TSLA,2020-03-24 14:45:37,5,6
$TSLA,2020-03-24 14:46:47,0,8
$TSLA,2020-03-24 14:47:50,81,5
$TSLA,2020-03-24 14:49:27,7,1
$TSLA,2020-03-24 14:51:18,3,2
$TSLA,2020-03-24 14:52:26,0,84
$TSLA,2020-03-24 14:54:23,20,38
$TSLA,2020-03-24 14:55:39,24,4
$TSLA,2020-03-24 14:56:51,18,88
$TSLA,2020-03-24 14:59:37,4,3
$TSLA,2020-03-24 15:01:18,6,1
$TSLA,2020-03-24 15:02:25,4,5
$TSLA,2020-03-24 15:03:29,20,0
$TSLA,2020-03-24 15:04:46,5,3
$TSLA,2020-03-24 15:06:12,2,26
$TSLA,2020-03-24 15:07:16,33,7
$TSLA,2020-03-24 15:08:31,76,2
$TSLA,2020-03-24 15:11:22,2,2
$TSLA,2020-03-24 15:13:01,4,3
$TSLA,2020-03-24 15:14:02,4,1
$TSLA,2020-03-24 15:15:44,3,9
$TSLA,2020-03-24 15:16:46,1,0
$TSLA,2020-03-24 15:17:52,1,2
$TSLA,2020-03-24 15:19:02,0,2
$TSLA,2020-03-24 15:20:44,51,0
$TSLA,2020-03-24 15:21:45,19,24
$TSLA,2020-03-24 15:22:47,2,0
$TSLA,2020-03-24 15:23:48,2,3
$TSLA,2020-03-24 15:24:52,7,2
$TSLA,2020-03-24 15:26:03,2,0
$TSLA,2020-03-24 15:27:14,156,0
$TSLA,2020-03-24 15:28:28,2,3
$TSLA,2020-03-24 15:29:38,3,4
$TSLA,2020-03-24 15:31:54,3,0
$TSLA,2020-03-24 15:33:07,0,1
$TSLA,2020-03-24 15:34:51,2,4
$TSLA,2020-03-24 15:36:06,1,253
$TSLA,2020-03-24 15:38:00,1,1
$TSLA,2020-03-24 15:40:00,30,0
$TSLA,2020-03-24 15:41:49,19,0
$TSLA,2020-03-24 15:43:01,4,37
$TSLA,2020-03-24 15:44:17,4,1
$TSLA,2020-03-24 15:45:31,22,4
$TSLA,2020-03-24 15:46:36,1,0
$TSLA,2020-03-24 15:48:09,3,1
$TSLA,2020-03-24 15:49:29,3,3
$TSLA,2020-03-24 15:51:12,62,5
$TSLA,2020-03-24 15:52:41,5,22
$TSLA,2020-03-24 15:54:25,141,3
$TSLA,2020-03-24 15:55:27,75,10
$TSLA,2020-03-24 15:56:31,5,18
$TSLA,2020-03-24 15:59:08,11,31
$TSLA,2020-03-24 16:01:42,6,0
$TSLA,2020-03-24 16:02:43,3,3
$TSLA,2020-03-24 16:03:47,3,1
$TSLA,2020-03-24 16:05:02,31,1
$TSLA,2020-03-24 16:06:57,15,1
$TSLA,2020-03-24 16:08:11,1,1
$TSLA,2020-03-24 16:09:49,14,2
$TSLA,2020-03-24 16:11:16,16,0
$TSLA,2020-03-24 16:13:09,0,1
$TSLA,2020-03-24 16:14:28,8,1
$TSLA,2020-03-24 16:15:34,5,2
$TSLA,2020-03-24 16:16:36,1,0
$TSLA,2020-03-24 16:17:39,13,2
$TSLA,2020-03-24 16:18:50,1,3
$TSLA,2020-03-24 16:20:56,18,1
$TSLA,2020-03-24 16:22:17,9,0
$TSLA,2020-03-24 16:23:23,18,6
$TSLA,2020-03-24 16:24:27,11,7
$TSLA,2020-03-24 16:25:47,1,3
$TSLA,2020-03-24 16:27:41,0,9
$TSLA,2020-03-24 16:28:47,10,5
$TSLA,2020-03-24 16:29:56,10,6
$TSLA,2020-03-24 16:31:07,6,6
$TSLA,2020-03-24 16:33:08,2,0
$TSLA,2020-03-24 16:34:48,6,0
$TSLA,2020-03-24 16:35:52,6,7
$TSLA,2020-03-24 16:37:14,0,2
$TSLA,2020-03-24 16:38:49,19,1
$TSLA,2020-03-24 16:40:11,2,1
$TSLA,2020-03-24 16:42:45,3,1
$TSLA,2020-03-24 16:44:41,0,114
$TSLA,2020-03-24 16:46:05,8,0
$TSLA,2020-03-24 16:48:04,3,4
$TSLA,2020-03-24 16:50:06,5,5
$TSLA,2020-03-24 16:51:51,1,0
$TSLA,2020-03-24 16:53:06,1,1
$TSLA,2020-03-24 16:54:31,67,1
$TSLA,2020-03-24 16:56:07,6,5
$TSLA,2020-03-24 16:57:29,4,1
$TSLA,2020-03-24 16:58:53,109,4
$TSLA,2020-03-24 17:00:01,4,249
$TSLA,2020-03-24 17:01:02,3,0
$TSLA,2020-03-24 17:02:12,1,0
$TSLA,2020-03-24 17:04:15,0,13
$TSLA,2020-03-24 17:05:28,12,0
$TSLA,2020-03-24 17:07:04,12,9
$TSLA,2020-03-24 17:09:44,0,2
$TSLA,2020-03-24 17:11:27,3,2
$TSLA,2020-03-24 17:12:37,1,22
$TSLA,2020-03-24 17:16:24,19,2
$TSLA,2020-03-24 17:20:28,1,0
$TSLA,2020-03-24 17:22:03,251,7
$TSLA,2020-03-24 17:23:13,2,0
$TSLA,2020-03-24 17:24:55,5,32
$TSLA,2020-03-24 17:26:49,1,0
$TSLA,2020-03-24 17:27:58,110,3
$TSLA,2020-03-24 17:29:03,2,18
$TSLA,2020-03-24 17:32:01,18,0
