0,"$TSLA former 5dMA stubborn resistance is acting as a support now 🏋️‍♂️

70,Don’t wait too long to sell $tsla $tslaq https://t.co/51AV3YHaRH,0,1,2020-03-28 21:53:30
71,"really instills faith in management team don’t it? 

#LONG $TSLA $TSLAQ https://t.co/BPWrbk9QZf",0,0,2020-03-28 21:53:13
72,"@Trumpery45 It‘s quite amazing that Elon didn’t get this - or he was willfully ignoring the nature of the graph to somehow show that everything is ok to keep his $TSLA factories open for a few more days.

In any case, #medicalmusk seems to be the worst Musk.",0,0,2020-03-28 21:52:21
73,This isn’t 2019 but 2020 in the middle of a pandemic and the worst economic calamity possible ever. You were warned. I done ✅ $tsla $tslaq https://t.co/5Vg6Sfvhsw,0,2,2020-03-28 21:52:17
74,via GerberKawasaki: Tesla is pushing to sell all the model Ys they’ve made before the end of the qtr. Got a call asking if I wanted to take a blue one early... but I want black. Should be an interesting qtr. $tsla $tsla,0,1,2020-03-28 21:51:44
75,Tesla is pushing to sell all the model Ys they’ve made before the end of the qtr. Got a call asking if I wanted to take a blue one early... but I want black. Should be an interesting qtr. $tsla,64,792,2020-03-28 21:51:13
76,"@BradMunchen @elonmusk Why do you think $TSLA is an any worse shape than any other OEM?
Granted their business model is based on negative unit economics and they can't make money",0,12,2020-03-28 21:51:08
77,"$spy this is where i called out where bull market is coming to an end;sold my positions on 2/18 

I can’t be right all the time but this one was hell of a call. Kudos to me!!
#greatcall #CoronaLockdown #Covid_19 

$tsla $roku $shop $sdc $lk $plug $pton $momo $bzun $snap https://t.co/BQgXPZdFhR",0,3,2020-03-28 21:50:21
78,You really are living in a fairy 🧚‍♀️ tale world.  We are headed into a recession if not depression. There will be no growth $tsla $tslaq https://t.co/tjPyqNxHyO,0,0,2020-03-28 21:46:02
79,"via WallStCynic: Is This A Serious Tesla Model Y Design Flaw? | Lol, of course it is. Every fender bender will damage the hatchback itself. $TSLA  https://t.co/mOjKG3fj9m $tsla",0,1,2020-03-28 21:45:43
80,"Is This A Serious Tesla Model Y Design Flaw? | Lol, of course it is. Every fender bender will damage the hatchback itself. $TSLA  https://t.co/VvZHy3i0bQ",40,180,2020-03-28 21:44:40
81,False -Tesla sales will sink 20%-50% conservatively. Tesla was losing money before the virus. What on earth do you think the numbers will look like now. And no they won’t turn on a dime when the virus clears $tsla $tslaq https://t.co/ibTOCjtIUx,0,2,2020-03-28 21:44:14
82,"NEW VIDEO: Stock Market Crash Update #5: Did The Stock Market Hit Bottom?
$STUDY $SPY $AAPL $QQQ $TSLA $GOOGL $NFLX $FB $AMZN $VIX 
https://t.co/IDj8pCbXSK",1,2,2020-03-28 21:43:55
83,"Come and Get These Stock Picks (you know you want to...) featuring David Lincoln https://t.co/9xvhlE6dcs $SPY $QQQ $DJIA $DIA #stockmarket #investing #finance #stocks #gold #silver $SLV $TWTR $GLD $FB $TLT $AAPL $TSLA $AMZN $NFLX $AMD $INTC #economy $BA $TLRY $CGC 
@thefamisdave",0,0,2020-03-28 21:43:40
84,"More U.S. cities become #coronavirus hot spots as confirmed cases surpass 640,000 globally https://t.co/gVLLrKWakz $SPY $QQQ $DJIA $DIA #stockmarket #investing #finance #stocks #gold #silver $SLV $TWTR $GLD $FB $TLT $AAPL $TSLA $AMZN $NFLX $AMD $INTC #economy",0,0,2020-03-28 21:43:14
85,"Lock in a Membership today for $29/month. 🔒 
📲 Option Alerts, Chart Analysis, and Trading Community. 
$SPY $ROKU $NFLX $AAPL $AMZN $GOOGL $TSLA $TLRY $CGC $OSTK $CHK $PENN $FB $NIO $BABA $SPCE $LK $NKE $BA $LYFT https://t.co/qnhUsJpLeF",0,2,2020-03-28 21:43:13
86,"New York City #coronavirus cases reach nearly 30,000 with a death every 9.5 minutes https://t.co/q8V5Th7wxg $SPY $QQQ $DJIA $DIA #stockmarket #investing #finance #stocks #gold #silver $SLV $TWTR $GLD $FB $TLT $AAPL $TSLA $AMZN $NFLX $AMD $INTC #economy",0,0,2020-03-28 21:42:51
87,"#Coronavirus update: 615,519 cases, 28,717 deaths; U.S. now has the most cases worldwide with more than 104,000 https://t.co/WLwQMMifLT $SPY $QQQ $DJIA $DIA #stockmarket #investing #finance #stocks #gold #silver $SLV $TWTR $GLD $FB $TLT $AAPL $TSLA $AMZN $NFLX $AMD $INTC #economy",0,0,2020-03-28 21:42:25
88,"A good sign......

$TSLA
 https://t.co/S5mbDI8yUn",0,0,2020-03-28 21:42:08
89,Exactly $tsla $tslaq https://t.co/unBUX3xLAG,0,0,2020-03-28 21:41:32
90,"NEW VIDEO: Stock Market Crash Update #5: Did The Stock Market Hit Bottom?
$STUDY $SPY $AAPL $QQQ $TSLA
https://t.co/IDj8pCbXSK https://t.co/4JJh5bIPwb",1,3,2020-03-28 21:41:09
91,The Virus 🦠 situation will go one for at least a month of not longer. Then people are not going to rush out &amp; buy cars especially when oil will be so inexpensive. Then can’t sell cars ; then can’t raise capital due to dire financial conditions. Then slam bankruptcy $tsla $tslaq https://t.co/T0I3GLjFf5,0,0,2020-03-28 21:41:05
92,"Is that Model Y supposed to look like a zebra, or are those panel gaps? $TSLA https://t.co/QTokSrvvqy",0,4,2020-03-28 21:37:35
93,@RhinoVesting @elonmusk Totally agree. Writing $TSLA business off would only hit Panasonic’s balance sheet by 10%. And their stock would rally fiercely.,0,19,2020-03-28 21:34:15
94,"As @allahpundit just wrote, ""If you can’t trust a totalitarian government waging a ruthless propaganda war to tell the truth about the extent of the epidemic within its borders, who can you trust?"" These are Elon's overlords at $TSLA Shanghai.
https://t.co/BLfVtGZEAc",10,33,2020-03-28 21:34:07
95,"@BluthCapital Lol. That’s it? I mean, heard the trunks leak water, batteries don’t work in the cold, auto pilot accelerates into walls, cars blowup, etc.

Now you’re implying I short $TSLA cause insurance will be insane if hit from behind &amp; my bumper falls off? OK, I guess I’ll go all in short",0,0,2020-03-28 21:33:19
96,Rolling those $tsla profits into Bird not going great over at Valor. https://t.co/h3farQv635,0,1,2020-03-28 21:33:01
97,Tesla stock is like art 🖼 Highly priced Van  Gogh until someone figures out the “art” is a no Gogh done with a paint by numbers kit $tsla $tslaq  https://t.co/gRkiXJ1LGr,0,1,2020-03-28 21:31:10
98,"Over the past twenty-four years, #TNRGold, through its lead generator business model, has been successful in generating high-quality exploration projects around the globe. https://t.co/cb6loDzeZC $TNR.v $NG $MUX $GNENF $GDX $COPX $LIT $BATT $ABX $NEM $TSLA $FCX $AEM $AUY $TCK https://t.co/lPU0HhWVmM",2,2,2020-03-28 21:30:40
99,"Friday's Top Flow in #StockMarket, Buy Flow and Sell Flow. $MSFT $AMZN $XLF $GOOGL $INTC $GDX $AGG $ADBE $FB $GOOG $BSV $SOTS $LQD $QQQ $TSLA $EWZ $SHY $FXI $EEM $DIS
https://t.co/5JE2nlrW3B https://t.co/5VqmTtTiCe",0,0,2020-03-28 21:30:22
100,It's not what you want. $tsla $tslaQ https://t.co/MjqOWg6139,0,0,2020-03-28 21:29:59
101,$TSLA VW draining 2B/week.  You guys are going bankrupt there are no buyers for remainder of 2020.  Auto’s/Airplanes the first to go.  And no solar panels won’t help. https://t.co/ykTxrjSxss,0,1,2020-03-28 21:28:11
102,Tesla $TSLA is currently -23.0% at $514.26... broadly falling with the main market. How many will be ordering a new car whilst under lockdown? https://t.co/chnlHSEBtv,0,7,2020-03-28 21:26:59
103,"$TSLA take a poll 👇👇👇

*** Shit the bed or GAP and RUN  

Mind you it was trading down to $509 in afterhours down from Friday close

I say $350 - $370 is next support 

***Target this week ~~~",0,0,2020-03-28 21:26:18
104,If there is one there will be others $tsla $tslaq https://t.co/9F1zBy3hOz,0,0,2020-03-28 21:25:48
105,"@Erik_Levin @ChefDave12118 @NYCMayor @elonmusk $tsla have had one hell of a lot more than that from taxpayers via subsidies, land, plus a myriad of incentives. As for $GM I agree but the mayor never mentioned them",0,0,2020-03-28 21:23:38
106,@BillAckman Buy $TSLA on the dip!,0,3,2020-03-28 21:23:08
107,Maybe but then the stock crashes anyway. Actually I hope that  what happens - a chapter 11 reorg -so people keep their jobs and Musk is shown to the exit $tsla $tslaq https://t.co/5stsauylBO,0,1,2020-03-28 21:20:45
108,@WallStCynic @WallStCynic only thing that will need replacing is the money you lost shorting $tsla lolololololololololololol EAD,0,1,2020-03-28 21:20:29
109,Fact Check: True   $TSLA https://t.co/n516CgO7l4,9,44,2020-03-28 21:19:15
110,"At the sentencing hearing, you will have to be his Character witness and talk about how he donated ventilators! If he hadn’t got hooked on drugs $tsla $tslaq https://t.co/Kyu7poXYUU",0,0,2020-03-28 21:18:58
111,"Thankfully $TSLA is a technology company and not a car maker. 

Oh, wait...   $TSLAQ $GM https://t.co/844u3n73MI",2,3,2020-03-28 21:18:16
112,Buys a known piece of crap from the least trustworthy company on earth and is mad when they are avoiding responsibility of any kind. Welcome to the TeslaLemming show. Don’t change the channel. $TSLA $TSLAQ https://t.co/PZo5CUAcaz,0,2,2020-03-28 21:17:16
113,Trump calls USNS Comfort leaving for New York a 'message of hope and solidarity' - ABC News $spx $ndx $tsla $ba $ge $gm https://t.co/joDoa34xnW,0,0,2020-03-28 21:16:42
114,Sure they can but what will th e stock be worth then? 50-25 less? $1 or ZERO $tsla$tslaq https://t.co/xpKrRcGBDP,0,2,2020-03-28 21:15:54
115,"This week's installment of Japanese Tesla listings/sales. $TSLA $TSLAQ #Tesla #CYAZ #テスラ #モデル3

TL;DR: LR/SR are back. Discounting continues. Used market is dead.",0,1,2020-03-28 21:13:39
116,#stocks #options #futures #forex #follow #banknifty #FTSE #pennystocks #OptionsTrading #DJIA #investing #investing #SPX #dow #finance #nasdaq #trading $spy $tsla $aapl $msft $f $amzn $ba $nvax $bac $qqq $bynd $amd $pg $nke $hd $dis $pfe $vz $wmt $cost $acb $x $twtr $avgo $fb $dal,0,1,2020-03-28 21:09:41
117,"First principles, bro.

(Seriously, this is what happens when you keep trying to reinvent the wheel, over and over, in a futile effort to live up to the super-genius image you paid millions to craft.)

$TSLA https://t.co/KwNEK33aVx",6,36,2020-03-28 21:09:16
118,"@JuicyGrabs @MarcDeMesel It’s just plain wrong to make these types of extrapolations. 

fact: 🇨🇳 auto sales -85% in Feb, 

truth: $TSLA MIC #Model3 🇨🇳 production &amp; sales +50% in Feb despite only being open 20 of 29 days",0,1,2020-03-28 21:06:20
119,@DiMartinoBooth Where lumber was August of 2018. Ready to liquidate for some non-existent $DXY! All told? The stimulus is like a drop of water in the Sahara. April crude lost 11% Friday. Oil is the leader. $TSLA is the new lumber. Crude &amp; $CCL (&amp; $CUK its slusher). Go to a carnival? Get mugged. https://t.co/TqCqcADsK8,0,0,2020-03-28 21:04:20
120,6/ Lance Gilman... does that name ring a bell? He's the brothel owner with a large commercial park in which $TSLA's Gigafactory is located.,3,28,2020-03-28 21:02:19
121,@blovereviews @elonmusk The legacy guys already need bailouts and if what I hear is true they are not planning for the future. The pandemic might speed things up for $TSLA,0,1,2020-03-28 21:01:25
122,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/Bm2t5WPLPJ $NVDA $TSLA $GS $REGN $BAC $GOOGL $FB,0,0,2020-03-28 21:00:32
123,"@FastEVRides @O2SupremeVermin @dennis_p @Kristennetten @GerberKawasaki @Sofiaan @payfrit @langejanne @RationalEtienne @spyderspider @MyTeshy @NuovaRealta @SteveHamel16 @marc_benton @allgeek79 @anuarbekiman @flcnhvy @Afrit @OCTeslaClub @PolarMETHOD @splubins @CesarCotaC @thirdrowtesla @ElonsBrain @joerogan I’m not as well verse on $Tsla has everyone else but I learn to be less wrong daily. @tesla_truth of @thirdrowtesla helped a lot, he showed the inaccuracies in Q intelligently and patiently dealt with my stupidity credit is due to him for making so pro Tesla....",0,5,2020-03-28 20:57:46
124,I think this site should rename it as... “mostly Tesla rumors because I don’t like @Tesla or @elonmusk “ $TSLA https://t.co/Ysqncxw4ZD,1,14,2020-03-28 20:53:11
125,The difference between value investors and growth investors:  Value investors assume growth rates always revert to the mean.  Growth investors assume growth rates never revert to the mean.  Neither is right.  $TSLA,1,12,2020-03-28 20:50:13
126,The opportunity to be mistaken and make insane returns. Be smart but also don't be scared : ) good luck everyone! $KO $BA $MCD $SPY $DJIA $AAPL $NFLX $NVDA $COST $K $ALK $MO $M $C $GS $BABA $AMZN $TSLA,0,0,2020-03-28 20:48:50
127,"Prediction: As you read this, $TSLA is slipping into insolvency faster than any carmaker in the world. 

Another prediction: As this happens, @elonmusk is losing his mind just as quickly because he might wind up in prison. 

$TSLAQ",23,257,2020-03-28 20:44:02
128,"""Recharge a Tesla Model S throughout the country faster than you could fill a gas tank soon! Barnacles are holding us back.""

#Tesla $tsla $tslaq",0,1,2020-03-28 20:42:01
129,"$ZVTK looking for acquisitions in IoT, Business Sector Automation, Artificial Intelligence, Digital Healthcare primed to move off chart base.

$TSLA $UBER $TWTR $FB $AAPL $MSFT

#pennystocks #zvtk #zevotek #daytrading #stocks #news https://t.co/Ew0zEZL1Oh",0,0,2020-03-28 20:33:48
